Time,High,Low,Close,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
1/6/2023 4:15,0.99982,0.998407,0.998572,9,1.001819,0.998181,1.002414,0.997807,1.000373,0.999313,1.002327,0.99821,0.999788,1.000403,0.999792,1.000179,0.997008,1.000137,0.998897,0.999538,1.002225,0.387137201,0.455376934,16834.98463
1/6/2023 4:30,0.999261,0.998339,0.999033,24,1.001822,0.998178,1.002588,0.997771,1.000477,0.99941,1.002347,0.998274,0.99972,1.000424,0.999888,1.000303,0.997121,1.000239,0.998998,0.99964,1.002327,0.372159369,0.433242884,16833.27086
1/6/2023 4:45,0.999661,0.998825,0.999447,0,1.001807,0.998193,1.00267,0.997753,1.000535,0.999464,1.002341,0.998308,0.999729,1.000434,0.999941,1.000387,0.997198,1.000297,0.999056,0.999698,1.002385,0.419146351,0.426021707,16832.29173
1/6/2023 5:00,0.999576,0.99901,0.99914,17,1.00174,0.99826,1.002827,0.997694,1.000621,0.999549,1.002364,0.998368,0.999628,1.000456,1.000023,1.000471,0.997308,1.000387,0.999431,0.999788,1.002476,0.413032338,0.418415348,16830.7687
1/6/2023 5:15,0.999359,0.998883,0.998883,4,1.001661,0.998339,1.003014,0.997555,1.000734,0.999663,1.002405,0.998441,0.999497,1.000488,1.000124,1.000591,0.997446,1.000505,0.999548,0.999906,1.002593,0.346093431,0.396121466,16828.79073
1/6/2023 5:30,0.999355,0.99796,0.998675,0,1.001774,0.998226,1.003143,0.997426,1.000866,0.999783,1.002453,0.998512,0.999386,1.00053,1.000244,1.000727,0.997602,1.000351,0.999687,1.000045,1.002733,0.29482308,0.366140026,16826.444
1/6/2023 5:45,0.999186,0.998491,0.999125,0,1.001736,0.998264,1.002946,0.997512,1.000949,0.99985,1.002466,0.998542,0.999298,1.000566,1.000315,1.000804,0.997713,1.000163,1.000658,1.000137,1.002826,0.321490901,0.349673797,16824.89504
1/6/2023 6:00,0.999582,0.998873,0.999204,43,1.001704,0.998296,1.002589,0.997725,1.001015,0.999912,1.00248,0.99857,0.999374,1.000591,1.000379,1.000873,0.997817,1.000235,1.000742,1.000221,1.00291,0.351715878,0.346392671,16823.48504
1/6/2023 6:15,0.999518,0.998508,0.998698,27,1.001736,0.998264,1.002511,0.997756,1.001141,1.000023,1.002533,0.998633,0.999361,1.000642,1.000491,1.000995,0.997978,1.00015,1.000879,1.000358,1.003047,0.307279966,0.333267614,16821.1798
1/6/2023 6:30,0.99897,0.997663,0.998918,24,1.001824,0.998176,1.0023,0.997888,1.001234,1.000097,1.002547,0.99865,0.999288,1.000662,1.000579,1.001088,0.998113,0.999861,1.00062,1.000595,1.003161,0.304258248,0.32170425,16819.26458
1/6/2023 6:45,0.999163,0.99796,0.998257,9,1.001882,0.998118,1.002704,0.997607,1.001392,1.000248,1.002628,0.998722,0.999222,1.000728,1.000731,1.00125,0.998316,0.999692,1.000687,1.000929,1.003345,0.259044141,0.302940505,16816.17843
1/6/2023 7:00,0.998724,0.998113,0.998278,47,1.001817,0.998183,1.003105,0.997348,1.001537,1.000407,1.002704,0.998778,0.999183,1.000803,1.000887,1.001413,0.998512,0.999873,1.000868,1.001111,1.003527,0.230350192,0.282502851,16813.13096
