Time,Open,High,Low,Close,Volume,Volume_quote,hlc3,ohlc4,hl2,candlestick_pattern,keltner_up,keltner_down,bollinger_up,bollinger_down,smma125_high,smma120_low,flay_upper,flay_lower,sma7,sma34,sma99,sma200,sma314,tenkan_sen,kijun_sen,span_a,span_b,storm,storm_ema,normalizesma
2023-02-10 10:45:00,21827.97,21855.47,21827.05,21849.38,2080.56,45448072.95,21843.97,21839.97,21841.26,9,21942.00117893221,21760.102524002155,21944.832308303066,21774.3186916976,22288.141037439793,22201.904958333187,22176.942800128378,21518.527364577512,21839.73571428554,21847.61617647061,22145.16787878756,22521.577799999905,22727.83942675158,21851.965,21853.43,22036.3925,22349.695,0.35262972550595223,0.34420710856062636,21851.051851467182
2023-02-10 11:00:00,21850.24,21851.9,21777.91,21833.89,3551.32,77499537.75,21821.23,21828.49,21814.91,22,21946.069784141215,21752.76499470416,21945.094764302405,21773.70923569826,22282.491011839793,22195.54669791652,22160.759608161352,21532.958431054336,21832.004285714112,21845.543529411785,22136.332424242108,22514.663099999903,22724.533917197437,21852.41,21853.43,22036.3925,22349.695,0.3802116612773734,0.34416851028955164,21849.417389422688
2023-02-10 11:15:00,21833.88,21847.6,21780.09,21792.9,4282.14,93420520.08,21806.86,21813.62,21813.85,0,21944.523936152913,21743.545625659568,21952.595459787433,21760.67454021324,22276.77364223979,22189.193902083185,22144.414891096996,21546.48412066771,21821.547142856965,21841.87088235296,22127.28969696938,22507.601199999903,22721.10254777069,21852.41,21853.43,22050.1425,22349.695,0.3187337312791921,0.3344887353662672,21844.03478090624
2023-02-10 11:30:00,21792.12,21799.2,21750.0,21780.97,4622.44,100659593.86,21776.72,21780.57,21774.6,27,21938.308851018126,21737.74837157412,21960.998013877044,21745.016986123625,22270.84409855979,22182.714245833184,22127.398658152306,21558.26391439671,21815.938571428396,21838.830588235316,22118.0214141411,22500.574949999904,22717.55238853502,21838.455,21853.43,22040.3925,22349.695,0.26479878947958796,0.316992444263453,21838.028611296122
2023-02-10 11:45:00,21781.9,21796.24,21713.96,21733.52,4993.82,108589598.76,21747.91,21756.41,21755.1,0,21934.783625970107,21721.3671944705,21977.953527063688,21713.94047293698,22264.465349119793,22175.880977777633,22109.933577849777,21568.286924111002,21803.644285714112,21834.93823529414,22108.537272726957,22493.2280499999,22713.757324840753,21820.434999999998,21814.655,22040.3925,22349.695,0.21113150704875436,0.29013944929595226,21828.075410220303
2023-02-10 12:00:00,21732.63,21781.06,21682.44,21766.63,5156.35,112063780.29,21743.38,21740.69,21731.75,0,21937.984860564622,21706.462072214974,21983.668161502665,21700.080838498,22257.873529599794,22168.535745138746,22093.01468497241,21577.541911106026,21797.894285714112,21832.44500000002,22099.18474747443,22486.2307999999,22710.093630573236,21804.675,21795.525,22040.3925,22349.695,0.25333698575366825,0.2780649592011372,21822.223466389798
2023-02-10 12:15:00,21767.63,21791.5,21731.6,21758.02,3259.6,70929860.27,21760.37,21762.19,21761.55,26,21932.274105300494,21699.943595785808,21990.05316462956,21685.976835371108,22251.441752319795,22161.578485416525,22077.404623267194,21586.94419241908,21787.901428571255,21830.457647058847,22089.543030302717,22479.137849999894,22706.339808917182,21804.675,21788.77,22040.3925,22349.695,0.29335122099025635,0.2770566935809562,21816.10885054315
2023-02-10 12:30:00,21758.73,21783.63,21709.68,21776.67,3547.68,77134752.18,21756.66,21757.18,21746.66,0,21931.691498820648,21693.014040257432,21986.26980693187,21679.0291930688,22244.994200959798,22154.34796111097,22062.295412464668,21595.621732633368,21777.514285714107,21830.579705882377,22080.359999999688,22472.258049999895,22702.65815286623,21804.675,21788.77,22040.3925,22349.695,0.35352688479084615,0.2913600711595766,21812.35276953904
2023-02-10 12:45:00,21777.26,21781.13,21707.33,21718.48,3238.75,70414949.47,21735.65,21746.05,21744.23,9,21925.577362126864,21681.24764941997,21983.648971908056,21662.327028092608,22238.606671999794,22147.16052847208,22047.090322560915,21602.85521469399,21761.027142856965,21827.695882352964,22070.678080807764,22465.0513999999,22698.665254777057,21804.675,21788.77,22040.3925,22349.695,0.30883702074928093,0.2944589413247737,21803.412505773416
2023-02-10 13:00:00,21719.29,21789.75,21711.76,21776.98,3345.53,72771599.43,21759.5,21749.45,21750.76,0,21926.44149498929,21675.34875355308,21971.75325205765,21662.19474794301,22232.089783679792,22139.75903611097,22033.495423643402,21610.512858709542,21758.75285714268,21827.05529411767,22061.832929292614,22458.106999999898,22694.93544585986,21796.144999999997,21788.77,21986.989999999998,22316.895,0.36309185785295717,0.31367061507046456,21800.895124271185
